factor,producer,pub,group,direction,missing_rate_overall,missing_rate_listed,ic_mean_10d,ic_mean_20d,ic_mean_2d,ic_mean_5d,ic_std_10d,ic_std_20d,ic_std_2d,ic_std_5d,ic_t_10d,ic_t_20d,ic_t_2d,ic_t_5d,icir_10d,icir_20d,icir_2d,icir_5d,n_days_10d,n_days_20d,n_days_2d,n_days_5d,pct_positive_10d,pct_positive_20d,pct_positive_2d,pct_positive_5d,monotonicity,ann_return_G1,ann_return_G5,ann_return_LongShort,ann_vol_LongShort,sharpe_LongShort,mean_turnover_LongShort,time_window_start,time_window_end,eval_timestamp
roe_mrq_new,spec,fundamental,roe_series,1,0.335180,0.098119,0.018138,0.020784,0.013769,0.015900,0.134568,0.143897,0.119760,0.126486,6.644239,7.119890,5.667568,6.196755,0.134785,0.144434,0.114972,0.125707,2430.000000,2430.000000,2430.000000,2430.000000,0.518930,0.508230,0.534979,0.515638,0.978429,0.002118,0.059110,0.040692,0.105991,0.383920,0.094408,2016-01-01,2025-12-31,20260525_220745
roe_pqoq_mrq,spec,fundamental,roe_series,1,0.450501,0.277191,0.013125,0.015955,0.009934,0.011729,0.066639,0.069002,0.060658,0.064461,9.708871,11.398213,8.073406,8.969847,0.196954,0.231224,0.163777,0.181963,2430.000000,2430.000000,2430.000000,2430.000000,0.571605,0.595473,0.556790,0.558436,0.889382,-0.001108,0.053191,0.049426,0.048860,1.011584,0.167828,2016-01-01,2025-12-31,20260525_220745
roe_pyoy_mrq,spec,fundamental,roe_series,1,0.423521,0.243059,0.023048,0.027604,0.015804,0.019636,0.089026,0.096260,0.073981,0.081115,12.762163,14.135955,10.530779,11.932987,0.258894,0.286762,0.213628,0.242073,2430.000000,2430.000000,2430.000000,2430.000000,0.612757,0.622634,0.593827,0.603704,0.971395,-0.022559,0.078569,0.097994,0.061550,1.592113,0.120187,2016-01-01,2025-12-31,20260525_220745
roic_ttm_all_rnk8,spec,fundamental,roic_series,1,0.392017,0.175006,0.002441,0.003588,-0.000782,0.000867,0.118042,0.114859,0.111621,0.112439,1.003539,1.515916,-0.340133,0.374406,0.020679,0.031238,-0.007009,0.007715,2355.000000,2355.000000,2355.000000,2355.000000,0.514650,0.526115,0.504459,0.509979,0.890759,0.017219,0.051194,0.035118,0.097563,0.359950,0.053285,2016-01-01,2025-12-31,20260525_220745
roic_ttm_dev_std8,spec,fundamental,roic_series,1,0.392017,0.175006,0.021228,0.022702,0.015684,0.018143,0.086065,0.084286,0.089791,0.082590,11.969418,13.070825,8.476494,10.660753,0.246648,0.269344,0.174671,0.219681,2355.000000,2355.000000,2355.000000,2355.000000,0.632696,0.644161,0.593631,0.613588,0.720210,-0.013836,0.049321,0.055308,0.072752,0.760230,0.065303,2016-01-01,2025-12-31,20260525_220745
roic_ttm_ind_rnk8,spec,fundamental,roic_series,-1,0.402391,0.189057,0.008079,0.006999,0.003745,0.005434,0.131938,0.129669,0.128614,0.131147,2.933572,2.585844,1.395060,1.984987,0.061236,0.053977,0.029121,0.041435,2295.000000,2295.000000,2295.000000,2295.000000,0.502397,0.502397,0.501089,0.505882,-0.368111,0.039800,0.028323,-0.025127,0.083333,-0.301527,0.045906,2016-01-01,2025-12-31,20260525_220745
valley_relative_vwap,spec,kysec,paper_27_microstructure,1,0.330817,0.114265,0.082843,0.090405,0.061076,0.073570,0.104206,0.103452,0.098877,0.100324,39.035675,42.909327,30.330213,36.007540,0.794993,0.873883,0.617699,0.733322,2411.000000,2411.000000,2411.000000,2411.000000,0.787225,0.812941,0.737453,0.777686,0.858454,-0.124585,0.143256,0.291483,0.092878,3.138350,0.664061,2016-01-01,2025-12-31,20260525_220745
valley_ridge_price_ratio,spec,kysec,paper_27_microstructure,1,0.835726,0.782566,0.105734,0.114791,0.073371,0.091502,0.117790,0.118322,0.115063,0.115682,44.076022,47.636619,31.310233,38.838653,0.897643,0.970158,0.637658,0.790980,2411.000000,2411.000000,2411.000000,2411.000000,0.817503,0.845707,0.745749,0.797180,0.875231,-0.239401,0.160873,0.496866,0.126911,3.915059,1.061565,2016-01-01,2025-12-31,20260525_220745
valley_ridge_price_ratio__mp10,spec,kysec,paper_27_microstructure,1,0.324075,0.105653,0.077748,0.084603,0.057071,0.068844,0.098439,0.098254,0.093506,0.094949,38.861573,42.367548,30.031154,35.675503,0.789811,0.861065,0.610344,0.725058,2421.000000,2421.000000,2421.000000,2421.000000,0.793887,0.822800,0.736473,0.779430,0.861260,-0.128844,0.129249,0.283738,0.089297,3.177476,0.708349,2016-01-01,2025-12-31,20260525_220745
valley_weighted_quantile,spec,kysec,paper_27_microstructure,1,0.330817,0.114265,0.037121,0.039116,0.026841,0.032911,0.083794,0.086537,0.085428,0.084164,21.752485,22.194674,15.427296,19.200475,0.443007,0.452012,0.314189,0.391033,2411.000000,2411.000000,2411.000000,2411.000000,0.732476,0.729573,0.685608,0.725425,0.895200,-0.019665,0.101443,0.115469,0.078614,1.468807,0.706359,2016-01-01,2025-12-31,20260525_220745
